Warehouse Location,Stock Number,Nomenclature,CIC,UI,ERRC,DOLT,DOLI,Dead Loc Flag,Serv Balance,IEX,Demand Level,SLC,Unit Price,Details
17A001A019,5360014472882BA,"SPRING, HELICAL, CO",U,EA,XB3,2020168,2019280,,2,,0,0,$100.14,
17A001A021,5305013373268BA,"SCREW,CLOSE TOLERAN",U,EA,XB3,2020168,2019282,,1,,0,0,$1.85,
17A001A022,5305015175535BA,"SCREW,MACHINE",U,EA,XB3,2020168,2019280,,4,,4,0,$8.51,
17A001A023,5331014124828AH,O-RING,U,EA,XB3,2020113,2019282,,4,,1,0,$0.40,
17A001A024,5305013375445BA,"SCREW,CLOSE TOLERAN",U,EA,XB3,2020168,2019280,,9,,0,0,$3.56,
17A001A025,5342002679587SX,"COUPLING,CLAMP,GROO",U,EA,XB3,2019344,2020027,,1,,1,0,$210.66,
17A001A026,5306014375977BA,"BOLT, TENSION, SPLI",U,EA,XB3,2020168,2019280,,1,,0,0,$20.03,
17A001A027,5310013442458BA,"NUT,SELF-LOCKING",U,EA,XB3,2020168,2019280,,39,,5,0,$0.59,
17A001A028,5310013553641BA,"NUT,SELF-LOCKING,NU",U,EA,XB3,2020176,2019280,,70,,70,0,$13.39,1
17A001A029,1560015823206BA,"LINER,ARMOR,SUPPLEM",U,EA,XB3,2018274,2019280,,2,,1,0,$57.46,
17A001A030,5305013571836BA,"SCREW,MACHINE",U,EA,XB3,2020170,2019282,,210,,398,0,$17.58,3
17A001A031,5306014191364BA,"BOLT,CLOSE TOLERANC",U,EA,XB3,2020168,2019280,,24,,0,0,$17.50,1
17A001A032,5310013433190BA,"NUT,SELF-LOCKING,SP",U,EA,XB3,2020168,2019282,,41,,42,0,$19.96,1
17A001A033,5310013315842BA,"WASHER,FLAT",U,EA,XB3,2020168,2019280,,10,,0,0,$0.30,
17A001A034,5305014493841BA,"SCREW,MACHINE",U,EA,XB3,2020168,2019280,,7,,2,0,$25.44,
17A001A035,5305013598042BA,"SCREW,MACHINE",U,EA,XB3,2020168,2019280,,4,,0,0,$0.94,
17A001A036,1650011379977UC,"SLEEVE,DIRECTIONAL",U,EA,XF3,2019274,2019280,,1,,0,0,"$2,652.46",
17A001A037,3120002428431UC,BUSH 4F02057-101A,U,EA,XB3,2019317,2019280,,13,,0,0,$10.12,
17A001A038,5930015380570BA,PUSHBUTTON SWITCH,U,EA,XF3,2020168,2019280,,1,,0,0,$321.04,
17A001A039,5325002987020SX,RE 21 REDUCTION INI,U,EA,XB3,2019353,2019280,,34,,4,0,$3.10,1
17A001A040,3120013416842BA,"BUSHING,SLEEVE",U,EA,XB3,2020168,2019280,,1,,0,0,$2.01,
17A001A041,5365001180629TP,SHIM S8154-10C005,U,EA,XB3,2019324,2019281,,134,,4,0,$0.67,
17A001A042,5305009276424SX,SCREW NAS1152-5,U,EA,XB3,2019282,2019282,,802,,461,0,$0.45,3
17A001A043,5315001913100SX,PIN MS20253-1-390,U,EA,XB3,2019351,2019280,,16,,2,0,$1.04,
17A001A044,5330001438581SX,PACKING S12766-010,U,EA,XB3,2020034,2019281,,12,,5,0,$7.19,2
17A001A045,5305009642845,"SCREW,THRD LGTH 0.5",U,HD,XB3,2020153,2019280,,1,,1,0,$7.76,1
17A001A046,5340009779137EH,"BOOT,DUST  N5030",U,EA,XB3,2020162,2019280,,4,,4,0,$3.43,1
17A001A047,5340001502953SX,BRACKET 9664M13P05,U,EA,XB3,2019274,2019281,,12,,0,0,$60.00,
17A001A048,5325009549197SX,STUD 15S1-1-1AC,U,EA,XB3,2020034,2019280,,7,,7,0,$4.66,
17A001A049,5340001136447NY,BRACKET 7003M48P01,U,EA,XB3,2019274,2019280,,5,,0,0,$24.87,
17A001A050,5331001661068,PACKING NAS1593-116,U,EA,XB3,2020178,2019280,,218,,4,0,$0.23,
17A001A052,5310009428456SX,"NUT,CLIP-ON",U,EA,XB3,2020072,2019282,,15,,15,0,$0.64,1
17A001A054,3120014222260BA,"BUSHING,SLEEVE",U,EA,XB3,2020168,2019280,,1,,0,0,$4.83,
17A001A056,5330009445941SX,GASKET,U,EA,XB3,2020168,2019280,,5,,5,0,$10.06,
17A001A057,5315008994118SX,"PIN,COTTER",U,HD,XB3,2019274,2019280,,1,,1,0,$7.77,1
17A001A058,3120004486587,"FITTING,A1009",U,EA,XB3,2019274,2019280,,1,,0,0,$96.74,
17A001A059,5331001733023,O-RING,U,EA,XB3,2020140,2019280,,45,,67,0,$0.60,2
17A001A060,5310013400244BA,"WASHER,FLAT",U,EA,XB3,2020168,2019280,,24,,24,0,$0.60,1
17A001A061,5306010580743,BOLT SHEAR,U,EA,XB3,2020155,2020177,,33,,33,0,$0.56,1
17A001A062,5306001562328SX,BOLT MACHINE,U,EA,XB3,2020061,2019280,,4,,4,0,$0.31,1
17A001A063,5940001152684EH,TERMINAL LUG  10EA,U,PG,XB3,2019274,2019280,,1,,1,0,$11.22,1
17A001A064,1560012355218UC,FITTING CABLE 4F638,U,EA,XB3,2019274,2019280,,1,,0,0,$414.53,
17A001A065,5306007541791SX,BOLT AN73-5,U,EA,XB3,2020115,2019280,,92,,95,0,$0.74,2
17A001A067,5999015182722BA,"CONTACT, ELECTRICAL",U,EA,XB3,2020168,2019280,,2,,0,0,$34.18,
17A001A068,5305008387330SX,SCREW/NAS1153-6,U,EA,XB3,2020182,2019282,,240,,824,0,$0.12,3
17A001A069,1560014366199BA,"SUPPORT,STRUCTURAL",7,EA,XB3,2020168,2019280,,1,,1,0,$592.50,
17A001A070,5306004922482SX,"BOLT,SHEAR",U,EA,XB3,2020183,2019280,,8,,8,0,$1.63,2
17A001A071,5310004492378,NUT NAS1022A8,U,EA,XB3,2020183,2020157,,1,,1,0,$1.82,
17A001A072,1560000810694UC,RETAINER 4E933145-1,U,EA,XB3,2020130,2019280,,6,,1,0,$35.05,
17A001A073,5950013574186BA,"TRANSFORMER,AUTO TR",U,EA,XB3,2020168,2019280,,3,,0,0,"$1,943.00",
17A001A074,5331010062119SX,O-RING,U,EA,XB3,2019274,2019280,,3,,0,0,$0.37,
17A001A076,5320011364497SX,RIVET BLIND,U,EA,XB3,2020182,2019282,,1573,,1182,0,$0.28,2
17A001A077,4730016103421,"SLEEVE,FLARED,TUBE",U,EA,XB3,2020014,2019280,,16,,16,0,$6.55,
17A001A078,3040014460398BA,"CONNECTING LINK,RIG",U,EA,XB3,2020168,2019280,,2,,0,0,$103.00,
17A001A079,5305000577164SX,SCREW/LS35372-8-6,U,EA,XB3,2019274,2019280,,1,,0,0,$25.78,
17A001A080,5310013854624,"WASHER,FLAT",U,HD,XB3,2020153,2019220,,4,,0,0,$9.42,
17A001A082,5340005846556GC,CLAMP 577R388H09,U,EA,XB3,2020178,2019280,,20,,8,0,$0.83,3
17A001A083,5330014932295BA,SEAL ASSEMBLY,U,EA,XB3,2020168,2019280,,2,,2,0,$458.87,
17A001A084,5320010338177SX,RIVET CR3243-5-2,U,HD,XB3,2019301,2019280,,2,,1,0,$27.42,2
17A001A085,4010003385769SX,SA CABLE LS5973C17-,U,EA,XB3,2019274,2019280,,8,,0,0,$26.82,
17A001B001,5340015623861,"CLAMP,LOOP",U,EA,XB3,2019274,2019280,,119,,0,0,"$1,652.88",
17A001B002,5340014981193BA,"CLAMP,LOOP",U,EA,XB3,2020168,2019280,,1,,0,0,$0.90,
17A001B003,1680998427037BA,"UPHOLSTERY,ARM REST",U,EA,XB3,2020168,2019280,,2,,1,0,$375.29,
17A001B004,5310015541608,NUT,U,EA,XB3,2019304,2019280,,4,,1,0,$35.29,1
17A001B005,1560015824961BA,"LINER,ARMOR,SUPPLEM",U,EA,XB3,2018274,2019280,,3,,0,0,$57.23,
17A001B006,4730013774330BA,"COUPLING HALF,SELF",U,EA,XB3,2020168,2019280,,2,,0,0,$956.21,
17A001B007,5331001661030SX,O-RING M83248/1-028,U,EA,XB3,2020162,2019280,,0,,0,0,$0.26,
17A001B008,5305014582153BA,"SCREW,CLOSE TOLERAN",U,EA,XB3,2020168,2019280,,60,,60,0,$1.50,2
17A001B009,5930015271356UC,"SWITCH,ELECTRONIC",U,EA,XB3,2020169,2019280,,1,,1,0,$360.93,
17A001B011,5330014250051BA,"SEAL,PLAIN ENCASED",U,EA,XB3,2020168,2019280,,1,,0,0,$36.70,
17A001B012,5340015246886,"CAP,FILLER OPENING",U,EA,XB3,2019274,2019280,,7,,0,0,"$1,096.58",
17A001B013,5310014117939BA,"WASHER,FLAT",U,EA,XB3,2020168,2019280,,14,,0,0,$0.16,1
17A001B014,5935015011536BA,"SOCKET,PLUG-IN ELEC",U,EA,XB3,2020168,2019280,,3,,0,0,$26.65,
17A001B015,5315009362136SX,"PIN,QUICK RELEASE",U,EA,XB3,2019280,2019280,,4,,1,0,$13.53,1
17A001B017,5305011312890SX,SCREW,U,EA,XB3,2018274,2019280,,25,,1,0,$0.23,
17A001B018,5940006822445EH,"TERM,LUG L 1.414IN",U,PG,XB3,2020033,2019281,,3,,2,0,$8.99,
17A001B019,6610015034379BA,BOTTLE,U,EA,XB3,2020168,2019280,,1,,1,0,$116.73,
17A001B020,5305009022137SX,"SCREW, MACHINE  MS2",U,EA,XB3,2018348,2019281,,41,,15,0,$0.14,
17A001B021,5985000977374EH,"SWITCH,RADIO FREQUE",U,EA,XB3,2020092,2019280,,1,,1,0,"$1,364.26",
17A001B022,5310014664820BA,"NUT,PLAIN,KNURLED",U,EA,XB3,2020168,2019280,,4,,2,0,$30.00,
17A001B023,5330010603431SX,RETAINER PACKING,U,EA,XB3,2019274,2019280,,8,,5,0,$1.80,
17A001B024,5310014546179BA,"NUT,SELF-LOCKING,PL",U,EA,XB3,2020168,2019280,,2,,0,0,$1.08,
17A001B025,5310009983120SX,WASHERLS6061-416L,U,EA,XB3,2019324,2019282,,449,,63,0,$0.22,2
17A001B026,5935013706275BA,"CONNECTOR,PLUG,ELEC",U,EA,XB3,2020168,2019280,,1,,0,0,$223.00,
17A001B027,5306016227310,"BOLT,CLOSE TOLERANC",U,EA,XB3,2019274,2019280,,1,,1,0,$2.33,
17A001B028,5305013208061SX,BOLT/NAS1973725T,U,EA,XB3,2019274,2019280,,1,,0,0,$17.62,1
17A001B030,5305009935826,SCREW NAS623-3-12,U,EA,XB3,2019308,2019280,,8,,8,0,$0.14,
17A001B032,5935013742981BA,"COVER,ELECTRICAL CO",U,EA,XB3,2020168,2019282,,21,,0,0,$29.44,
17A001B033,5305002063647SX,SCREW THRD LGTH 0.3,U,HD,XB3,2020071,2020006,,1,,1,0,$6.98,1
17A001B034,5305004363311SX,"SCREW, CLOSE TOLERA",U,EA,XB3,2020014,2019280,,73,,50,0,$0.22,1
17A001B035,5310006194376SX,"NUT,HEX THREAD .190",U,HD,XB3,2019274,2019280,,1,,0,0,$24.15,
17A001B056,5961015522719,SEMICONDUCTOR DEVIC,U,EA,XB3,2020122,2019280,,18,,0,0,$211.35,
17A001B057,5305010816104SX,RE 21 REDUCTION INI,U,EA,XB3,2019274,2019280,,63,,0,0,$0.70,
17A001B058,5310013667792BA,"WASHER,BEVEL",U,EA,XB3,2020168,2019280,,40,,0,0,$18.30,
17A001B059,5305014586335BA,"SCREW,MACHINE",U,EA,XB3,2020168,2019280,,105,,55,0,$1.01,
17A001B060,5310014471799BA,"WASHER,FLAT",U,EA,XB3,2020168,2019280,,10,,0,0,$0.72,
17A001B061,5360016233993BA,"9D0154-4 SPRING,HEL",U,EA,XB3,2020091,2019280,,0,,2,0,$3.23,6
17A001B062,5315000589698SX,"PIN, DIAMETER .066",U,HD,XB3,2019308,2019280,,1,,1,0,$3.10,
17A001B063,1680013459733SX,"PAD,CUSHIONING",U,EA,XB3,2019274,2019280,,5,,5,0,$95.91,
17A001B064,5935014683901BA,INSERT,U,EA,XB3,2020168,2019280,,2,,0,0,$14.17,
17A001B065,5331001031986,O-RING,U,EA,XB3,2020178,2019280,,32,,17,0,$0.12,3
17A001B068,6220015323503BA,"COVER,ACCESS ASSEMB",U,EA,XF3,2020168,2019280,,1,,1,0,$658.33,
17A001B069,5940001138184EH,TERMINAL LUG,U,HD,XB3,2020181,2019280,,1,,2,0,$5.61,1
17A001B071,5310013871168SX,NUT SELF-LOCKING EX,U,EA,XB3,2019274,2019280,,2,,1,0,$69.84,1
17A001B072,5340014464932BA,"CATCH,CLAMPING",U,EA,XB3,2020168,2019280,,1,,1,0,"$3,837.20",
17A001B074,5340004872732SX,HANDLE DV308-300-4,U,EA,XB3,2019274,2019280,,2,,0,0,$13.29,1
17A001B075,4730013631992BA,"SLEEVE,FLARED,TUBE",U,EA,XB3,2020168,2019280,,2,,0,0,$9.90,
17A001B076,5999014713669,"SOCKET, PLUG-IN ELE",U,EA,XB3,2020153,2019280,,2,,2,0,$10.14,
17A001B077,1680013912068BA,"BELT,AIRCRAFT SAFET",U,EA,XB3,2020168,2019280,,2,,0,0,$75.90,
17A001B078,5940014760762BA,TERMINAL JUNCTION B,U,EA,XB3,2020168,2019280,,7,,0,0,$25.40,
17A001B079,5310010062094SX,WASHER 4F63091-101A,U,EA,XB3,2019274,2019280,,9,,0,0,$6.08,
17A001B080,5310008071471,"NUT,SLF-LCK,HEX THR",U,HD,XB3,2020183,2019280,,1,,1,0,$33.65,1
17A001B081,5325014591012SX,"GROMMET,NONMETALLIC",U,EA,XB3,2020160,2019280,,3,,11,0,$7.84,2
17A001B082,5331001651961SX,PACKIN M83248/1-243,U,EA,XB3,2019318,2019280,,1,,1,0,$1.49,3
17A001B084,5940014752689BA,5D0518-1 MOD BLOCK,U,EA,XB3,2020168,2019280,,1,,0,0,$36.62,
17A001B085,5320004012439SX,PIN STSAF009D05LN0,U,EA,XB3,2020030,2019280,,525,,122,0,$7.76,1
17A001C001,3120014193970BA,"BUSHING,SLEEVE",U,EA,XB3,2020168,2019280,,3,,0,0,$2.45,
17A001C002,5340014560197BA,"BUMPER,NONMETALLIC",U,EA,XB3,2020168,2019280,,1,,0,0,$250.00,
17A001C003,5340015902562,"RETAINRER,ASSEMBLED",U,EA,XB3,2019275,2019280,,210,,1,0,$40.35,1
17A001C004,5330013594614BA,"SEAL,NONMETALLIC SP",U,EA,XB3,2020168,2019280,,1,,0,0,$69.68,
17A001C005,5935015523874UC,"SOCKET,PLUG-IN ELEC",U,EA,XB3,2020155,2019280,,12,,0,0,$77.29,
17A001C006,5935011847376EH,CAP MS25043-10DA,U,EA,XB3,2019308,2019280,,6,,6,0,$4.85,
17A001C007,5340014529295BA,"RETAINER,ASSEMBLED",U,EA,XB3,2020168,2019280,,1,,0,0,$13.25,
17A001C008,5331005373929,PACKING PR J221P138,U,EA,XB3,2020183,2020087,,1,,1,0,$0.39,
17A001C009,5305016128751,"SCREW,SHOULDER",U,EA,XB3,2020064,2019282,,127,,131,0,$2.13,
17A001C010,5935014683881BA,"INSERT,ELECTRICAL C",U,EA,XB3,2020168,2019280,,2,,0,0,$14.17,
17A001C011,1650014884018UC,SWIVEL\14497515P14P,U,EA,XB3,2020071,2019280,,1,,1,0,$627.40,
17A001C013,5340004581952SX,SNAP HOOK,U,EA,XB3,2019274,2019280,,6,,3,0,$6.05,
17A001C014,4730016245979,ADAPTER BUSHING,U,EA,XB3,2020169,2019280,,2,,2,0,$75.71,
17A001C015,1560001098692UC,WNDSHLD CAM LEVER 4,U,EA,XB3,2019274,2019280,,2,,1,0,$284.61,
17A001C016,5331002221818SX,PACKING PREFORMED M,U,EA,XB3,2019274,2019280,,3,,3,0,$0.73,1
17A001C017,5305009152563BJ,SCREW/NAS1124-7,U,EA,XB3,2020013,2020087,,531,,4,0,$5.43,
17A001C018,5342002679606SX,COUPL 4A90000-117A,U,EA,XB3,2020092,2019280,,2,,2,0,$104.73,
17A001C019,6210002364030SX,"LIGHT,INDICATOR",U,EA,XB3,2019324,2019280,,1,,1,0,$845.22,
17A001C020,3120004351053,"BUSHING,SLEEVE LS38",U,EA,XB3,2019317,2019281,,50,,20,0,$7.01,
17A001C021,5305011677634SX,SCREW,U,EA,XB3,2019274,2019280,,50,,53,0,$1.77,1
17A001C022,5305015712979BA,"SCREW,CLOSE TOLERAN",U,EA,XB3,2020046,2019280,,4,,5,0,$70.18,
17A001C023,5306006848863SX,BOLT AN42BC4A,U,EA,XB3,2020147,2019281,,10,,1,0,$7.68,1
17A001C024,5340015477873BA,"LATCH SET,MORTISE",U,EA,XB3,2020168,2019280,,1,,1,0,$244.74,
17A001C026,5950004439287EH,"TRANSFORMER,POWER A",U,EA,XB3,2020092,2019280,,3,,0,0,"$5,038.44",
17A001C027,5310008071466GA,"NUT,SLF-LCK,HEX THR",U,HD,XB3,2020165,2019280,,5,,5,0,$18.34,3
17A001C028,5935014824622BA,"SOCKET,PLUG-IN ELEC",U,EA,XB3,2020168,2019281,,5,,0,0,$6.80,
17A001C029,5305000889671SX,SCREW,U,EA,XB3,2018292,2019280,,58,,15,0,$0.05,
17A001C030,5310001834355FL,"WASHER,FLAT",U,HD,XB3,2019274,2019280,,0,,0,0,$1.55,1
17A001C031,5340014651256BA,"RETAINER,NUT AND BO",U,EA,XB3,2020168,2019280,,0,,1,0,$167.00,1
17A001C032,1680015228018BA,"LINK ASSEMBLY,RAMP",U,EA,XF3,2020168,2019280,,2,,0,0,"$2,730.98",
17A001C033,5310013529575,WASHER FLAT,U,HD,XB3,2019345,2020087,,7,,0,0,$2.27,
17A001C034,5306011862160BA,"BOLT, SHEAR",U,EA,XB3,2020168,2019280,,3,,0,0,$6.05,
17A001C035,5315001161847SX,"PIN, LOCK",U,EA,XB3,2020162,2019282,,31,,31,0,$0.12,2
17A001C056,5940013602612BA,TERMINAL JUNCTION B,U,EA,XB3,2020168,2019280,,1,,0,0,$8.71,
17A001C057,5305013577723,SCREW,U,EA,XB3,2019288,2019280,,18,,13,0,$11.92,1
17A001C058,5340001032945,CLAMP MS21105-4,U,EA,XB3,2020153,2019280,,17,,17,0,$3.80,1
17A001C059,5340015906797,NUT ASSY,U,EA,XB3,2019274,2019280,,388,,1,0,$31.91,1
17A001C060,5310014192401BA,"WASHER,FLAT",U,EA,XB3,2020168,2019280,,10,,0,0,$0.34,
17A001C061,1560003327554UC,PLATE ASSY/4E33015-,U,EA,XB3,2020175,2019280,,1,,1,0,$527.08,
17A001C062,5342008551795,"BRACKET, DOOR SPRT",U,EA,XB3,2019318,2019280,,18,,0,0,$53.14,
17A001C063,5945015525838,"RELAY,ELECTROMAGNET",U,EA,XB3,2020155,2019280,,6,,0,0,$823.83,
17A001C064,4730015427724,"CAP, TUBE",U,EA,XB3,2020120,2019280,,26,,36,0,$9.35,
17A001C065,5340005874173SX,KEY NAS559-1,U,EA,XB3,2020002,2019280,,30,,30,0,$3.84,3
17A001C066,5331011877978SX,"PACKING,PREFORMED",U,EA,XB3,2020119,2019280,,87,,1,0,$0.54,
17A001C067,5365004454571SX,"SPACER, PLATE",U,EA,XB3,2019274,2019280,,3,,11,0,$0.73,
17A001C068,5331001668412SX,PACKING  MS9388-221,U,EA,XB3,2019274,2019280,,2,,3,0,$0.40,
17A001C069,5310014245734SX,"NUT,SELF-LOCKING",U,EA,XB3,2019274,2019280,,11,,0,0,$1.06,
17A001C070,5305011725571SX,"SCREW,CLOSE TOLERAN",U,EA,XB3,2020135,2019280,,105,,105,0,$1.88,2
17A001C071,5320004012447SX,PIN STSAF009D06LN0,U,EA,XB3,2020133,2019280,,235,,16,0,$2.10,1
17A001C072,4730013890274BA,"TEE,TUBE",U,EA,XB3,2020168,2019280,,2,,0,0,$305.00,
17A001C073,4720013692048BA,"HOSE,AIR DUCT",U,EA,XB3,2020168,2019280,,2,,0,0,$275.00,
17A001C074,5310013347937SX,"NUT, SELF-LOCKING",U,EA,XB3,2019288,2019280,,60,,63,0,$2.00,2
17A001C075,5306004922348SX,"BOLT,SHEAR",U,EA,XB3,2020061,2019280,,1,,1,0,$13.50,
17A001C076,5310009618393SX,NUT MS77826-5,U,EA,XB3,2020183,2019280,,1,,1,0,$1.20,1
17A001C077,5306010579317SX,"BOLT,SHEAR",U,EA,XB3,2019274,2019280,,1,,0,0,$3.57,
17A001C078,5325008114073SX,RING RETAINING,U,EA,XB3,2020176,2019280,,1,,0,0,$0.21,
17A001C079,9330014717751BA,PLASTIC STRIP,U,EA,XB3,2020168,2019280,,3,,0,0,$135.00,
17A001C080,5985014731906UC,SWITCH TA2A31SEI,U,EA,XB3,2019322,2019280,,1,,0,0,$941.95,
17A001C081,5320010467461SX,"COLLAR, PIN RIVET N",U,HD,XB3,2020029,2019280,,2,,0,0,$12.37,
17A001C082,3040014654316BA,CRANK ASSY,U,EA,XF3,2020168,2019280,,1,,0,0,$217.00,
17A001C083,5340008159068SX,BRACKET AN743B12,U,EA,XB3,2019274,2019280,,98,,1,0,$0.15,
17A001C085,5325002600134SX,STUD CA18063-1,U,EA,XB3,2020162,2019280,,1,,1,0,$34.76,1
17A001D001,6220014353865BA,"PANEL, INDICATING,",U,EA,XB3,2020168,2019280,,1,,0,0,$261.00,
17A001D004,5310015394556BA,"NUT,SELF LOCKING",U,EA,XB3,2020168,2019280,,4,,0,0,$12.75,
17A001D005,5310001451912SX,SPACER 4F245007-101,U,EA,XB3,2019318,2019280,,5,,0,0,$17.03,
17A001D006,4730014201029BA,"CLAMP,HOSE",U,EA,XB3,2020168,2019280,,1,,0,0,$75.00,
17A001D007,5935005347553EH,CONNECTOR 69-6R10SL,U,EA,XB3,2020092,2019280,,1,,1,0,$17.50,
17A001D009,6240014599086BA,"LAMP,INCANDESCENT",U,EA,XB3,2020168,2019280,,2,,2,0,$11.19,
17A001D010,1680001556073SX,817889-3 CAP,U,EA,XB3,2019274,2019280,,11,,0,0,$123.59,
17A001D011,5305012395912SX,"SCREW,CLOSE TOLERAN",U,EA,XB3,2019274,2019280,,8,,4,0,$3.71,
17A001D012,5310001824153SX,WASHER LS35115A1BD0,U,EA,XB3,2019345,2019281,,5,,2,0,$21.65,
17A001D013,5310004865920SX,NUT 177535-1,U,EA,XB3,2019318,2019282,,361,,316,0,$0.65,2
17A001D015,1680013658238BA,"DEFLECTOR,DIRT AND",U,EA,XB3,2020168,2019280,,2,,0,0,$225.00,
17A001D016,5340010580609SX,"CLAMP,LOOP",U,EA,XB3,2019344,2019217,,1,,1,0,$247.59,1
17A001D017,5320013912300SX,PIN-RIVET,U,EA,XB3,2020007,2019280,,101,,55,0,$2.86,1
17A001D018,5305009844982SX,"SCREW,MACHINE",U,HD,XB3,2019344,2019217,,2,,1,0,$1.55,
17A001D019,5365000843573FX,"SPACER,PLATE  NAS14",U,EA,XB3,2020153,2019280,,113,,0,0,$0.97,
17A001D020,5310012702600SX,RE 21 REDUCTION INI,U,EA,XB3,2020002,2019280,,14,,14,0,$0.05,2
17A001D021,5325001156358SX,STUD,U,EA,XB3,2020002,2019280,,6,,6,0,$13.36,1
17A001D022,5340015051448BA,"CLAMP,SYNCHRO",U,EA,XB3,2020168,2019280,,1,,0,0,$342.00,
17A001D023,5310001900457SX,"WASHER,FLAT",U,EA,XB3,2019274,2019280,,14,,5,0,$0.37,1
17A001D024,1680013945431BA,"TUBING ASSEMBLY,NON",U,EA,XF3,2020174,2019280,,0,,1,0,$144.25,1
17A001D025,5305011913130SX,SCREW  NAS1581C3R5,U,EA,XB3,2019280,2019280,,76,,40,0,$0.33,2
17A001D026,5325016256407BA,"STUD,TURNLOCK FASTE",U,EA,XB3,2018274,2019280,,1,,0,0,$197.00,
17A001D027,5310003571938SX,"WASHER,FLAT",U,EA,XB3,2020151,2019282,,238,,15,0,$1.46,
17A001D028,5310013529576SX,NAS1149CN816B WASHE,U,EA,XB3,2020183,2019281,,49,,49,0,$0.03,
17A001D029,5330001115804UC,"SEAL,TRACKSLOT 4J12",U,EA,XB3,2020162,2019266,,1,,1,Z,"$1,342.74",
17A001D030,4730002042231SX,FITTIN 2-01595W1010,U,EA,XB3,2020181,2019280,,1,,2,0,$66.74,1
17A001D031,5331010858391SX,"PACKING,PREFORMED",U,EA,XB3,2019274,2019280,,5,,5,0,$0.84,1
17A001D032,5305009022138SX,"SCREW,MACHINE",U,EA,XB3,2019274,2019280,,33,,0,0,$0.20,
17A001D033,1560014618449BA,"LINER,ARMOR,SUPPLEM",U,EA,XB3,2020168,2019280,,2,,1,0,$58.39,
17A001D034,5331001875997AW,O-RING,U,EA,XB3,2019010,2019280,,2,,1,0,$0.26,
17A001D035,5990006887036UC,SYNCHRO TRANSMITTER,U,EA,XB3,2020092,2019280,,1,,1,0,"$1,456.62",
17A001D036,4730001720010FX,"FITTING,LUBRICATION",U,PG,XB3,2020024,2020027,,1,,1,0,$66.26,
17A001D037,5305004563081SX,SCREW MACHINE,U,EA,XB3,2019345,2019282,,206,,174,0,$0.11,
17A001D038,3120013613152BA,"BEARING,SLEEVE",U,EA,XB3,2020168,2019280,,1,,0,0,$136.00,
17A001D039,5315002341859SX,COTTOR PIN MS24665-,U,EA,XB3,2020183,2019281,,37,,37,0,$0.03,1
17A001D040,5320011502743SX,RIVETS,U,EA,XB3,2020135,2019280,,171,,152,0,$0.79,1
17A001D056,5305013299954SX,"SCREW,MACHINE AIC44",U,EA,XB3,2020023,2019280,,22,,25,0,$3.45,
17A001D057,5306014720038NV,BOLT NAS6803U2,U,EA,XB3,2020064,2019252,,2,,1,0,$5.43,
17A001D058,1680015301917BA,"POUCH,CREW SEAT AIR",U,EA,XB3,2020168,2019280,,11,,0,0,$716.25,
